1978,2069,2804,2903,1634,1635,36,331
1982,2066,2802,2901,1634,1631,36,308
1982,2066,2804,2902,1633,1634,36,279
1983,2066,2805,2901,1634,1634,37,251
1985,2069,2805,2900,1634,1632,37,227
1981,2069,2806,2899,1632,1631,37,214
1979,2068,2805,2898,1635,1632,37,197
1980,2073,2805,2902,1636,1633,37,175
1977,2076,2806,2903,1632,1637,37,149
1984,2071,2808,2902,1633,1628,37,128
1979,2073,2805,2901,1635,1628,37,117
1975,2065,2806,2902,1635,1629,37,110
1980,2075,2807,2904,1636,1625,36,110
1975,2071,2804,2914,1637,1622,36,124
1978,2073,2805,2931,1637,1621,35,140
1979,2077,2805,2953,1638,1621,35,143
1982,2075,2806,2964,1639,1620,35,142
1982,2071,2804,2932,1640,1615,35,126
1979,2075,2806,2928,1641,1617,35,114
1980,2073,2806,2928,1641,1617,35,105
1976,2069,2806,2970,1642,1611,36,103
1982,2068,2805,3007,1643,1615,35,105
1982,2057,2803,3120,1642,1618,34,109
1983,2052,2803,3231,1640,1619,34,115
1991,2041,2801,3270,1637,1625,33,126
1989,2044,2803,3197,1634,1629,33,144
1984,2044,2801,3158,1632,1636,32,159
1985,2046,2804,3155,1633,1631,31,190
1982,2051,2805,3158,1633,1633,31,199
1983,2050,2805,3158,1630,1636,30,216
1982,2051,2803,3156,1630,1633,30,237
1982,2045,2806,3162,1631,1634,29,252
1983,2052,2806,3163,1632,1629,29,254
1983,2059,2803,3163,1629,1633,29,248
1981,2052,2805,3166,1632,1629,28,243
1979,2054,2804,3166,1631,1628,28,241
1985,2056,2806,3168,1632,1626,28,223
1976,2057,2804,3169,1630,1628,28,211
1981,2056,2806,3171,1629,1627,28,196
1977,2054,2805,3171,1632,1624,28,185
1974,2058,2805,3174,1633,1624,28,183
1977,2061,2804,3174,1634,1620,28,190
1976,2057,2805,3174,1633,1621,28,196
1977,2052,2800,3176,1633,1619,29,197
1977,2056,2803,3175,1634,1619,29,196
1976,2049,2800,3175,1637,1609,30,192
1977,2055,2804,3179,1637,1621,30,190
1978,2054,2805,3181,1638,1617,30,190
1982,2051,2804,3181,1637,1621,30,190
1977,2056,2804,3184,1636,1625,30,190
1978,2055,2805,3180,1638,1619,30,194
1979,2056,2804,3181,1635,1623,30,198
1978,2061,2803,3179,1638,1618,30,210
1977,2061,2807,3184,1638,1619,30,223
1973,2064,2805,3186,1640,1611,30,224
1977,2061,2806,3184,1642,1607,30,216
1978,2067,2806,3187,1642,1611,30,197
1976,2066,2805,3187,1644,1608,30,184
1979,2062,2802,3186,1646,1611,30,143
1971,2070,2803,3184,1646,1613,29,120
1972,2071,2806,3180,1647,1616,29,120
1969,2074,2806,3179,1647,1616,28,122
1976,2067,2805,3169,1647,1612,28,129
1974,2069,2803,3166,1648,1616,28,147
1975,2070,2804,3161,1649,1614,28,149
1973,2070,2805,3160,1648,1615,27,148
1969,2063,2799,3155,1647,1603,27,143
1977,2069,2806,3154,1648,1611,28,129
1973,2069,2804,3149,1650,1614,29,110
1973,2069,2802,3145,1648,1614,29,109
1975,2069,2805,3145,1649,1613,30,110
1975,2075,2805,3146,1649,1616,30,114
1980,2069,2803,3143,1652,1614,30,127
1973,2070,2804,3140,1653,1616,31,142
1975,2070,2805,3144,1651,1616,30,148
1973,2068,2805,3137,1649,1614,30,147
1971,2071,2805,3137,1650,1627,30,133
1974,2065,2804,3129,1650,1617,31,116
1969,2068,2804,3122,1652,1619,32,114
1970,2067,2803,3122,1651,1620,33,114
1970,2067,2806,3118,1653,1620,35,120
1968,2066,2800,3116,1652,1617,36,130
1973,2066,2806,3110,1652,1623,37,144
1974,2068,2805,3101,1651,1622,39,152
1977,2057,2805,3095,1653,1623,42,152
1973,2067,2805,3084,1654,1621,44,149
1967,2065,2801,3077,1653,1627,50,137
1975,2060,2804,3082,1653,1630,59,128
1973,2053,2806,3089,1654,1628,64,128
1977,2050,2804,3095,1651,1634,71,132
1981,2043,2805,3093,1651,1628,76,140
1989,2038,2806,3090,1652,1629,82,154
1999,2033,2804,3088,1653,1621,95,169
1999,2031,2807,3084,1653,1625,106,197
2003,2028,2807,3083,1652,1628,113,213
2009,2027,2804,3070,1654,1628,131,242
2008,2029,2806,3066,1650,1635,151,262
2013,2028,2802,3065,1652,1642,174,276
2012,2025,2807,3053,1651,1638,196,281
2015,2022,2806,3043,1654,1639,230,297
2019,2019,2803,3038,1654,1641,264,322
2021,2017,2806,3034,1655,1644,292,341
2022,2015,2806,3022,1655,1651,320,376
2022,2016,2806,3010,1655,1657,328,389
2020,2023,2806,2998,1654,1669,346,416
2026,2015,2806,2990,1651,1671,359,432
2028,2013,2805,2974,1654,1672,373,450
2028,2012,2805,2960,1653,1677,395,461
2027,2006,2803,2955,1650,1674,434,469
2031,2018,2802,2937,1651,1682,491,501
2034,2016,2805,2928,1652,1693,519,521
2039,2015,2808,2920,1652,1699,541,547
2032,2011,2805,2922,1651,1705,562,574
2033,2011,2802,2912,1650,1704,594,588
2037,2014,2805,2901,1650,1711,620,607
2033,2014,2805,2878,1651,1713,654,626
2037,2012,2804,2876,1651,1717,683,652
2036,2010,2804,2878,1651,1725,710,673
2034,2012,2803,2909,1649,1723,744,708
2038,2002,2805,2907,1646,1717,776,734
2035,2007,2805,2902,1648,1725,808,760
2037,1999,2801,2882,1652,1722,827,786
2033,1990,2800,2880,1648,1712,843,796
2041,1997,2802,2875,1651,1716,860,816
2035,1998,2803,2878,1646,1722,881,842
2038,1996,2805,2878,1651,1719,912,885
2039,1994,2804,2882,1651,1721,921,899
2037,1994,2803,2877,1650,1728,944,928
2034,1997,2805,2877,1649,1734,961,957
2038,2002,2805,2883,1647,1742,976,972
2044,1993,2803,2881,1649,1743,1000,995
2044,1996,2806,2895,1649,1751,1028,1021
2042,1996,2806,2912,1648,1757,1057,1048
2043,1991,2805,2917,1648,1752,1086,1081
2041,1994,2804,2926,1647,1759,1120,1116
2040,1994,2808,2945,1647,1759,1135,1137
2040,2001,2804,2985,1644,1752,1153,1168
2034,2000,2805,3011,1643,1747,1168,1194
2039,2002,2804,3017,1643,1738,1174,1211
2044,1999,2804,3006,1643,1730,1192,1225
2044,2004,2801,2993,1644,1725,1232,1273
2042,2000,2805,3007,1644,1725,1263,1301
2038,2000,2806,3005,1643,1724,1279,1323
2047,1999,2805,2996,1645,1726,1303,1368
2044,1997,2802,2991,1643,1722,1325,1398
2041,1999,2805,2981,1643,1730,1353,1407
2043,1994,2805,2989,1645,1728,1389,1409
2046,1992,2804,2994,1644,1727,1411,1407
2047,1992,2808,3012,1646,1732,1425,1406
2042,1989,2805,3028,1644,1741,1440,1407
2045,1990,2806,3056,1647,1755,1484,1421
2058,1988,2803,3060,1650,1766,1497,1439
2048,1984,2804,3066,1646,1773,1520,1466
2048,1990,2807,3059,1645,1777,1543,1494
2054,1984,2805,3054,1646,1767,1552,1536
2050,1989,2805,3052,1647,1783,1558,1565
2052,1983,2805,3063,1645,1788,1560,1594
2054,1981,2806,3056,1645,1791,1575,1620
2051,1984,2805,3065,1644,1792,1595,1645
2052,1985,2806,3063,1645,1794,1610,1672
2049,1986,2805,3069,1646,1794,1618,1685
2047,1989,2805,3090,1644,1805,1633,1711
2054,1988,2805,3106,1646,1801,1655,1745
2050,1983,2805,3127,1644,1798,1688,1787
2056,1982,2803,3128,1646,1797,1708,1813
2053,1977,2804,3115,1643,1795,1744,1843
2054,1977,2804,3097,1645,1798,1768,1874
2057,1969,2804,3081,1645,1798,1793,1897
2060,1972,2804,3085,1645,1799,1802,1929
2056,1972,2797,3083,1643,1798,1815,1953
2056,1968,2803,3078,1644,1806,1825,1974
2059,1968,2804,3076,1644,1809,1828,2008
2062,1971,2805,3074,1644,1807,1842,2049
2053,1981,2806,3087,1643,1820,1844,2092
2063,1967,2805,3082,1644,1820,1851,2116
2075,1965,2804,3082,1647,1822,1850,2142
2059,1967,2804,3081,1642,1825,1852,2163
2059,1964,2805,3078,1642,1826,1874,2190
2050,1963,2807,3082,1642,1828,1890,2222
2062,1965,2805,3078,1642,1845,1901,2242
2059,1959,2804,3084,1644,1829,1914,2269
2063,1958,2804,3087,1644,1833,1933,2299
2061,1954,2804,3072,1643,1839,1930,2337
2066,1961,2804,3073,1643,1835,1930,2364
2062,1966,2804,3085,1642,1839,1933,2379
2063,1967,2806,3093,1642,1839,1928,2409
2060,1971,2803,3103,1642,1854,1915,2427
2063,1963,2805,3102,1643,1840,1884,2446
2061,1963,2803,3108,1642,1839,1856,2449
2057,1964,2804,3106,1642,1838,1840,2445
2059,1966,2802,3099,1644,1838,1832,2431
2055,1967,2805,3100,1639,1837,1816,2409
2060,1968,2802,3108,1645,1839,1796,2396
2061,1967,2801,3109,1645,1836,1770,2378
2059,1966,2804,3092,1644,1834,1751,2356
2059,1968,2800,3085,1644,1831,1736,2327
2056,1970,2804,3092,1643,1836,1726,2295
2061,1964,2804,3090,1646,1830,1726,2284
2057,1972,2807,3096,1644,1827,1726,2265
2058,1967,2802,3100,1646,1823,1700,2259
2055,1973,2801,3099,1645,1817,1677,2258
2055,1974,2804,3093,1644,1815,1665,2261
2053,1975,2801,3093,1644,1815,1650,2265
2054,1974,2802,3089,1643,1813,1643,2273
2050,1974,2807,3091,1644,1810,1641,2273
2050,1979,2802,3091,1642,1809,1692,2255
2054,1978,2802,3080,1643,1800,1757,2229
2052,1978,2805,3077,1643,1801,1832,2201
2059,1975,2803,3065,1645,1788,1906,2177
2054,1979,2803,3068,1643,1791,1961,2137
2058,1980,2804,3080,1642,1790,1969,2086
2051,1982,2805,3084,1642,1794,1955,2042
2052,1980,2803,3079,1644,1794,1923,2020
2052,1977,2803,3084,1644,1794,1915,2017
2054,1977,2801,3085,1644,1792,1924,2018
2054,1981,2803,3079,1645,1797,1950,2029
2052,1983,2800,3070,1644,1800,1968,2040
2050,1982,2805,3072,1643,1798,1962,2059
2050,1982,2807,3078,1645,1792,1960,2084
2054,1982,2804,3084,1645,1792,1965,2090
