0.8696,0.1,0.4855,0.3673,0.3953,0.7935,416,649,289
0.8696,0.1667,0.4832,0.3649,0.3953,0.7935,387,654,298
0.8841,0.1833,0.4944,0.3697,0.4186,0.8043,409,675,313
0.8406,0.2,0.5034,0.3626,0.3953,0.8152,464,697,329
0.8551,0.2,0.5011,0.3602,0.3953,0.8152,447,724,359
0.7826,0.1333,0.5056,0.3483,0.3953,0.75,489,736,375
0.8841,0.1833,0.528,0.3602,0.4651,0.7935,502,755,386
0.9275,0.15,0.5302,0.3555,0.4651,0.7826,481,801,406
0.9275,0.1833,0.5414,0.3555,0.4884,0.7935,514,830,427
0.942,0.1333,0.5503,0.3578,0.4884,0.7826,539,855,449
0.942,0.2,0.5526,0.3602,0.5581,0.7717,524,860,454
0.913,0.2,0.5548,0.372,0.5349,0.8261,589,869,470
0.942,0.1833,0.557,0.3649,0.5814,0.8152,568,891,497
0.942,0.1333,0.566,0.3626,0.5349,0.7826,593,905,514
0.8841,0.1333,0.5638,0.3555,0.5581,0.8152,632,913,539
0.913,0.1833,0.5615,0.3602,0.5581,0.9891,695,915,576
0.8841,0.15,0.5526,0.3626,0.5581,0.9457,651,914,592
0.913,0.1667,0.5593,0.372,0.6047,0.9348,655,932,621
0.913,0.1667,0.5638,0.3744,0.5814,0.9348,674,946,639
0.9275,0.2,0.5615,0.3744,0.6512,0.9457,666,979,658
1.0,0.0833,0.5727,0.3815,0.6512,0.9783,668,994,666
0.913,0.1667,0.5705,0.3768,0.5814,0.9891,736,1006,679
0.8696,0.15,0.5772,0.3626,0.6512,0.9457,766,1015,691
0.942,0.25,0.5794,0.3578,0.6512,1.0,763,1023,691
1.0,0.0667,0.5951,0.3483,0.7442,0.9674,729,1038,684
0.8841,0.1833,0.5861,0.3626,0.6512,0.9783,816,1038,684
0.9855,0.15,0.5906,0.3626,0.6744,0.9348,720,1049,694
0.9275,0.1,0.5973,0.3555,0.6512,0.9348,784,1065,714
0.9275,0.2167,0.5973,0.3555,0.6512,0.9457,810,1091,722
0.8841,0.1833,0.604,0.3483,0.6744,0.9457,866,1116,734
0.913,0.1667,0.6085,0.3483,0.6512,0.9348,851,1130,741
0.942,0.1667,0.6197,0.3483,0.6744,0.9239,867,1151,750
0.9275,0.0333,0.6309,0.3318,0.6977,0.8587,868,1176,780
0.913,0.25,0.6309,0.3389,0.6512,1.0,993,1180,787
0.9275,0.2,0.6398,0.3246,0.6512,0.9783,991,1206,815
